"individual","status","MDS1","MDS2","pred_immigrant","pred_resident"
"Wytham_UK_TK25603","resident",-0.0880138801439093,-0.112843465414483,0.04,0.96
"Wytham_UK_TC59601","resident",-0.0245911449353301,-0.0842308117119983,0.92,0.08
"Wytham_UK_TC59703","resident",-0.146493664608064,0.185895450153425,0.12,0.88
"Wytham_UK_TC58056","resident",-0.0520512077203728,-0.0137740154141341,0.56,0.44
"Wytham_UK_TB26789","resident",-0.14282122976194,0.118560551471952,0.82,0.18
"Wytham_UK_VF63423","resident",-0.127486165500193,0.112393268192781,0,1
"Wytham_UK_TE79016","resident",-0.0273665414692159,-0.130549900177081,0,1
"Wytham_UK_TJ25265","resident",-0.130182438665627,0.114919786808332,0.28,0.72
"Wytham_UK_TB27305","resident",-0.105874628262585,0.0226616486325287,1,0
"Wytham_UK_TB26267","resident",-0.0118795556042993,-0.0011489729615197,0.14,0.86
"Wytham_UK_TJ26196","resident",-0.0776907983639784,-0.097707524426939,0.84,0.16
"Wytham_UK_TK25538","resident",0.183491368496178,-0.00821029194184746,1,0
"Wytham_UK_VT33014","resident",0.119407351158965,-0.113342827056089,1,0
"Wytham_UK_TB26731","resident",0.0517120592149369,-0.0843296518335924,1,0
"Wytham_UK_TB27375","resident",0.496805003560511,0.100528662009436,1,0
"Wytham_UK_TB27126","resident",-0.133156797582388,0.0882935632199376,0,1
"Wytham_UK_TL39629","resident",-0.129870411465988,0.0660259582071991,0,1
"Wytham_UK_TC58911","resident",-0.0801112522563081,-0.0914882130361032,0.22,0.78
"Wytham_UK_TC58825","resident",-0.163437936119489,0.183548358497262,0,1
"Wytham_UK_TC59633","resident",-0.134156841308965,-0.0339780216902399,0,1
"Wytham_UK_TC58183","resident",-0.0765682215267879,-0.0159249138755628,0.8,0.2
"Wytham_UK_TJ24863","resident",-0.166005100392865,0.176615927381309,0,1
"Wytham_UK_TL38179","resident",0.358965735092683,0.0167888537226239,1,0
"Wytham_UK_TL39121","resident",0.0515063249230387,-0.106054990671317,0.4,0.6
"Wytham_UK_TA16467","resident",-0.150693922706649,0.150923709584325,0,1
"Wytham_UK_TA16761","resident",0.0573112099969828,0.0482227077513896,1,0
"Wytham_UK_TK26669","resident",-0.0925290438000334,-0.113724742150151,0.08,0.92
"Wytham_UK_TK27532","resident",-0.121831883650783,0.0700992157749026,0,1
"Wytham_UK_VF63055","resident",-0.088659676472021,-0.0681520144154004,1,0
"Wytham_UK_VT33550","resident",-0.192106138495911,0.239021511573001,0,1
"Wytham_UK_TK27434","resident",-0.015321768431628,-0.104961111193694,0.62,0.38
"Wytham_UK_TC59922","resident",-0.167018184929151,0.164851921192642,0,1
"Wytham_UK_VF63832","resident",-0.0915970895221006,-0.00536353631356102,0.86,0.14
"Wytham_UK_TB21507","resident",0.10851824380058,0.123381739634146,0.98,0.02
"Wytham_UK_TJ24810","resident",-0.106588133749647,-0.030395900659578,0,1
"Wytham_UK_VF64753","resident",-0.087273188739762,-0.129420230110521,0.02,0.98
"Wytham_UK_TL36477","resident",-0.0978697587667218,-0.0748020150071014,0.46,0.54
"Wytham_UK_VS83127","resident",-0.0921734769026231,-0.0809696238887272,0,1
"Wytham_UK_TA16054","resident",0.139673063222074,-0.0729532895359336,0.88,0.12
"Wytham_UK_TL37574","resident",0.00716406209955323,-0.0846177498576252,0.92,0.08
"Wytham_UK_TB26723","resident",-0.0717505581279542,-0.0925228235887869,0,1
"Wytham_UK_VT33143","resident",-0.156095009063215,0.205902399083673,0,1
"Wytham_UK_TB26693","resident",-0.0731913885302791,-0.0989660444443943,0.32,0.68
"Wytham_UK_TC59312","resident",-0.0957460382002941,-0.0261128575448145,0,1
"Wytham_UK_TC58142","resident",0.0478391794962656,-0.0704714104767454,0.98,0.02
"Wytham_UK_TC58178","resident",-0.136492786087639,0.108565794477127,0.02,0.98
"Wytham_UK_TK27442","resident",-0.172661572185424,0.188630601822205,0,1
"Wytham_UK_TA16029","resident",-0.0924183275091324,-0.0530118762219287,1,0
"Wytham_UK_VT33419","resident",-0.147391214635785,0.042141303006531,0,1
"Wytham_UK_TK26156","resident",-0.178223634666118,0.19046036815451,0,1
"Wytham_UK_TK26373","resident",-0.0913124258674428,-0.119257172128306,1,0
"Wytham_UK_TC59847","resident",-0.091606955057942,-0.124573838747863,0.08,0.92
"Wytham_UK_TC58161","resident",-0.102594185864347,0.108646560587443,0,1
"Wytham_UK_TK25796","resident",-0.218398793994348,0.321426847985633,0,1
"Wytham_UK_TL37748","resident",-0.119723292336882,0.0586365307069947,0,1
"Wytham_UK_TB27233","resident",-0.0942145521360531,-0.0649126178749694,1,0
"Wytham_UK_TC58788","resident",-0.13145132769187,0.105293946694023,0,1
"Wytham_UK_TK25890","resident",-0.0771458861645468,-0.143464167747074,0.26,0.74
"Wytham_UK_TC58235","resident",-0.133065721282899,0.133632824692969,0.14,0.86
"Wytham_UK_TK25612","resident",-0.0571205854135237,-0.136145131045776,0,1
"Wytham_UK_VF63451","resident",-0.208873752154042,0.284813915761615,0,1
"Wytham_UK_TC59093","resident",-0.142132660084328,0.0783455051093469,0,1
"Wytham_UK_TB26845","resident",-0.0921082908300421,-0.0924000117265446,0,1
"Wytham_UK_TA16664","resident",-0.0827851674075207,-0.0800858251997988,0,1
"Wytham_UK_TC58046","resident",-0.0948610861696973,-0.0876541787025682,0.92,0.08
"Wytham_UK_TK25763","resident",-0.0418731323684354,-0.144559335757282,0,1
"Wytham_UK_TR42233","resident",-0.10372388605858,-0.0776268742004465,0,1
"Wytham_UK_TL37495","resident",-0.179276183793155,0.191657110084705,0,1
"Wytham_UK_TP41663","resident",-0.177153309698145,0.190170137926704,0,1
"Wytham_UK_TC58014","resident",-0.130383236209064,0.0454584704632865,0.02,0.98
"Wytham_UK_TA16514","resident",-0.0931846233635296,-0.0867682436935928,0,1
"Wytham_UK_TL38226","resident",-0.125251104039488,0.0459841311193685,0,1
